File	Terminals	Reading time (s)	Encoding time (s)	Total time (s)	Current memory (KB)	Peak memory (KB)
1755.newick	20	0.00433349609375	0.10288643836975098	0.10722064971923828	175.425	188.674
4201.newick	13	0.0010538101196289062	0.03935718536376953	0.04041171073913574	39.327	48.685
129.newick	49	0.0017237663269042969	0.23818397521972656	0.23990845680236816	103.572	126.205
1674.newick	20	0.0010895729064941406	0.05865311622619629	0.05974316596984863	18.874	30.02
4789.newick	4	0.0008714199066162109	0.0031082630157470703	0.003980159759521484	4.621	14.216
4153.newick	14	0.0010006427764892578	0.04294776916503906	0.043949127197265625	11.709	21.879
280.newick	36	0.0015971660614013672	0.1344444751739502	0.13604235649108887	41.527	58.045
3302.newick	20	0.0012009143829345703	0.0932912826538086	0.09449267387390137	14.932	27.33
1752.newick	20	0.0011622905731201172	0.08509707450866699	0.08625984191894531	15.121	27.738
83.newick	60	0.0018608570098876953	0.3011894226074219	0.3030509948730469	65.602	86.998
2816.newick	20	0.0012369155883789062	0.09742498397827148	0.0986623764038086	15.162	27.202
601.newick	27	0.0011680126190185547	0.07659769058227539	0.07776618003845215	19.308	32.762
4741.newick	4	0.0008273124694824219	0.003197908401489258	0.004025936126708984	2.839	14.204
2328.newick	20	0.0011284351348876953	0.09350013732910156	0.09462904930114746	14.882	28.119
3059.newick	20	0.0011446475982666016	0.09522390365600586	0.09636902809143066	12.073	24.517
3078.newick	20	0.0011370182037353516	0.09198665618896484	0.0931243896484375	12.634	24.681
2749.newick	20	0.0011372566223144531	0.10045981407165527	0.10159778594970703	14.283	26.103
1119.newick	21	0.0012578964233398438	0.06703448295593262	0.06829309463500977	15.963	29.047
3740.newick	19	0.0011556148529052734	0.08419203758239746	0.08534812927246094	13.556	25.18
396.newick	30	0.0012316703796386719	0.08356833457946777	0.08480048179626465	17.725	30.558
2269.newick	20	0.0011327266693115234	0.10086703300476074	0.10200023651123047	13.08	24.672
230.newick	40	0.0015041828155517578	0.1461777687072754	0.14768242835998535	32.522	48.448
308.newick	33	0.0013964176177978516	0.11446166038513184	0.11585879325866699	26.489	43.253
2779.newick	20	0.0012211799621582031	0.10444140434265137	0.10566306114196777	13.609	25.722
3932.newick	18	0.0012481212615966797	0.07916545867919922	0.0804145336151123	11.277	22.964
2521.newick	20	0.001226186752319336	0.07856464385986328	0.07979130744934082	12.168	23.705
3699.newick	19	0.0011000633239746094	0.09008622169494629	0.0911867618560791	11.693	24.16
2143.newick	20	0.0011391639709472656	0.10114336013793945	0.10228300094604492	12.112	24.304
4285.newick	11	0.0009551048278808594	0.030896425247192383	0.031852006912231445	8.293	17.861
