sequence	state_1	state_2	state_3	state_4	state_5	state_6
Cgla#CAGL0F04939g	1	0	0	0	0	0
Tbla#TBLA0A09720	1	0	0	0	0	0
Klac#KLLA0D09262g	1	0	0	0	0	0
Cgla#CAGL0J04444g	0	1	0	0	0	0
Klac#KLLA0F12584g	0	1	0	0	0	0
Tbla#TBLA0B08140	0	1	0	0	0	0
Ecym#Ecym_2352	0	1	0	0	0	0
Egos#AFR178W	0	1	0	0	0	0
Knag#KNAG0G01500	0	1	0	0	0	0
Kafr#KAFR0C02770	0	1	0	0	0	0
Ncas#NCAS0B05630	0	1	0	0	0	0
Ndai#NDAI0B02970	0	1	0	0	0	0
Suva#Suva_2.98	0	1	0	0	0	0
Scer#YBL023C	0	1	0	0	0	0
Skud#Skud_2.82	0	1	0	0	0	0
Smik#Smik_2.93	0	1	0	0	0	0
Tdel#TDEL0B04400	0	1	0	0	0	0
Zrou#ZYRO0G08976g	0	1	0	0	0	0
Tpha#TPHA0H00160	0	1	0	0	0	0
Vpol#Kpol_1007.8	0	1	0	0	0	0
Lklu#SAKL0H19470g	0	1	0	0	0	0
Lthe#KLTH0H08118g	0	1	0	0	0	0
Lwal#Kwal_14.2090	0	1	0	0	0	0
Cgla#CAGL0J06424g	0	0	1	0	0	0
Kafr#KAFR0D01430	0	0	1	0	0	0
Klac#KLLA0F10087g	0	0	1	0	0	0
Knag#KNAG0B00670	0	0	1	0	0	0
Lklu#SAKL0F02244g	0	0	1	0	0	0
Tbla#TBLA0F01840	0	0	1	0	0	0
Ecym#Ecym_1219	0	0	1	0	0	0
Egos#AFR546W	0	0	1	0	0	0
Lthe#KLTH0G02068g	0	0	1	0	0	0
Lwal#Kwal_47.18966	0	0	1	0	0	0
Ncas#NCAS0E00680	0	0	1	0	0	0
Ndai#NDAI0I02820	0	0	1	0	0	0
Suva#Suva_7.62	0	0	1	0	0	0
Scer#YGL201C	0	0	1	0	0	0
Skud#Skud_7.70	0	0	1	0	0	0
Smik#Smik_7.70	0	0	1	0	0	0
Tdel#TDEL0D05770	0	0	1	0	0	0
Zrou#ZYRO0C06072g	0	0	1	0	0	0
Tpha#TPHA0D03350	0	0	1	0	0	0
Vpol#Kpol_278.4	0	0	1	0	0	0
Klac#KLLA0C17512g	0	0	0	1	0	0
Cgla#CAGL0K02431g	0	0	0	1	0	0
Tbla#TBLA0E03960	0	0	0	1	0	0
Tpha#TPHA0D00920	0	0	0	1	0	0
Vpol#Kpol_274.5	0	0	0	1	0	0
Kafr#KAFR0C03110	0	0	0	1	0	0
Knag#KNAG0G01160	0	0	0	1	0	0
Ncas#NCAS0C04200	0	0	0	1	0	0
Ndai#NDAI0G03550	0	0	0	1	0	0
Tdel#TDEL0F01110	0	0	0	1	0	0
Zrou#ZYRO0E02574g	0	0	0	1	0	0
Suva#Suva_16.343	0	0	0	1	0	0
Scer#YPR019W	0	0	0	1	0	0
Skud#Skud_16.304	0	0	0	1	0	0
Smik#Smik_16.260	0	0	0	1	0	0
Lklu#SAKL0H20284g	0	0	0	1	0	0
Ecym#Ecym_8360	0	0	0	1	0	0
Egos#ADL026W	0	0	0	1	0	0
Lthe#KLTH0H08690g	0	0	0	1	0	0
Lwal#Kwal_14.2175	0	0	0	1	0	0
Klac#KLLA0E23189g	0	0	0	0	1	0
Knag#KNAG0A03750	0	0	0	0	1	0
Cgla#CAGL0M05423g	0	0	0	0	1	0
Kafr#KAFR0E03140	0	0	0	0	1	0
Ncas#NCAS0B02240	0	0	0	0	1	0
Ndai#NDAI0C05450	0	0	0	0	1	0
Tdel#TDEL0B03150	0	0	0	0	1	0
Zrou#ZYRO0F09240g	0	0	0	0	1	0
Scer#YBR202W	0	0	0	0	1	0
Smik#Smik_2.343	0	0	0	0	1	0
Skud#Skud_2.329	0	0	0	0	1	0
Suva#Suva_4.457	0	0	0	0	1	0
Tbla#TBLA0A00580	0	0	0	0	1	0
Tpha#TPHA0I01960	0	0	0	0	1	0
Vpol#Kpol_457.9	0	0	0	0	1	0
Lklu#SAKL0H10406g	0	0	0	0	1	0
Lthe#KLTH0E12342g	0	0	0	0	1	0
Lwal#Kwal_27.12002	0	0	0	0	1	0
Ecym#Ecym_1173	0	0	0	0	1	0
Egos#ADR041W	0	0	0	0	1	0
Tbla#TBLA0B02190	0	0	0	0	0	1
Zrou#ZYRO0F05104g	0	0	0	0	0	1
Cgla#CAGL0L01397g	0	0	0	0	0	1
Tdel#TDEL0C02620	0	0	0	0	0	1
Kafr#KAFR0E00550	0	0	0	0	0	1
Knag#KNAG0G00530	0	0	0	0	0	1
Klac#KLLA0E22243g	0	0	0	0	0	1
Ecym#Ecym_3575	0	0	0	0	0	1
Egos#AFR355C	0	0	0	0	0	1
Lklu#SAKL0D11704g	0	0	0	0	0	1
Lthe#KLTH0C03520g	0	0	0	0	0	1
Lwal#Kwal_27.10174	0	0	0	0	0	1
Ncas#NCAS0G04070	0	0	0	0	0	1
Ndai#NDAI0G00370	0	0	0	0	0	1
Scer#YEL032W	0	0	0	0	0	1
Skud#Skud_5.59	0	0	0	0	0	1
Smik#Smik_5.71	0	0	0	0	0	1
Suva#Suva_21.4	0	0	0	0	0	1
Suva#Suva_5.37	0	0	0	0	0	1
Tpha#TPHA0O00410	0	0	0	0	0	1
Vpol#Kpol_1061.28	0	0	0	0	0	1
Ecym#Ecym_3117	1	0	0	0	0	0
Egos#AGR276W	1	0	0	0	0	0
Lklu#SAKL0A08162g	1	0	0	0	0	0
Lthe#KLTH0G15268g	1	0	0	0	0	0
Lwal#Kwal_56.23282	1	0	0	0	0	0
Kafr#KAFR0A04980	1	0	0	0	0	0
Knag#KNAG0F03000	1	0	0	0	0	0
Ncas#NCAS0D02920	1	0	0	0	0	0
Ndai#NDAI0I01980	1	0	0	0	0	0
Scer#YLR274W	1	0	0	0	0	0
Skud#Skud_12.357	1	0	0	0	0	0
Smik#Smik_12.353	1	0	0	0	0	0
Suva#Suva_10.372	1	0	0	0	0	0
Tdel#TDEL0G04010	1	0	0	0	0	0
Zrou#ZYRO0D14344g	1	0	0	0	0	0
Tpha#TPHA0K01140	1	0	0	0	0	0
Vpol#Kpol_1009.1	1	0	0	0	0	0

         1974892 function calls (1969652 primitive calls) in 1.118 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(any)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(append)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_1d)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(broadcast_arrays)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(broadcast_to)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
      520    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
      260    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(cumsum)
        1    0.000    0.000    0.002    0.002 <__array_function__ internals>:2(dot)
        5    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
      259    0.000    0.000    0.013    0.000 <__array_function__ internals>:2(in1d)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(inv)
      259    0.000    0.000    0.014    0.000 <__array_function__ internals>:2(isin)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(lexsort)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(linspace)
        1    0.000    0.000    0.015    0.015 <__array_function__ internals>:2(lstsq)
    97702    0.028    0.000    0.188    0.000 <__array_function__ internals>:2(ndim)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nonzero)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(outer)
        1    0.000    0.000    0.019    0.019 <__array_function__ internals>:2(polyfit)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(polyval)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
      518    0.000    0.000    0.008    0.000 <__array_function__ internals>:2(unique)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(vander)
    15605    0.005    0.000    0.016    0.000 <__array_function__ internals>:2(where)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(zeros_like)
   203/29    0.000    0.000    0.177    0.006 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      524    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
      524    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      323    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    287/3    0.000    0.000    0.372    0.124 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1969    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      205    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      331    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:376(cached)
    18107    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:389(parent)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      189    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  189/186    0.000    0.000    0.087    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    189/3    0.000    0.000    0.373    0.124 <frozen importlib._bootstrap>:650(_load_unlocked)
      198    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
      524    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      598    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      598    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
      198    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    201/2    0.000    0.000    0.373    0.187 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    201/2    0.001    0.000    0.373    0.187 <frozen importlib._bootstrap>:986(_find_and_load)
      144    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
    43/41    0.000    0.000    0.084    0.002 <frozen importlib._bootstrap_external>:1099(create_module)
    43/31    0.000    0.000    0.033    0.001 <frozen importlib._bootstrap_external>:1107(exec_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      423    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1287(_legacy_get_spec)
      196    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      196    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      187    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      358    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
      288    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      187    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      144    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     1779    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     1779    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
    144/3    0.000    0.000    0.373    0.124 <frozen importlib._bootstrap_external>:777(exec_module)
      776    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      144    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      256    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      144    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      238    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        7    0.000    0.000    0.000    0.000 <frozen zipimport>:109(find_loader)
       14    0.000    0.000    0.000    0.000 <frozen zipimport>:308(_get_module_path)
        7    0.000    0.000    0.000    0.000 <frozen zipimport>:312(_is_dir)
